"brand","subscriber","reviewer","RATING","category"
"allura","2.6","0.59","4.9","skin_care"
"avoskin","1","602.9","4.9","skin_care"
"azarine","1.4","1","4.9","skin_care"
"bae+","0.265","0.036","4.9","skin_care"
"base","14.5","2.9","4.9","skin_care"
"beauty boss","7","4.1","4.9","skin_care"
"bhumi","74.8","26.5","4.9","skin_care"
"bio beauty lab","245.8","137.1","5","skin_care"
"biyu","31.4","19.8","4.9","skin_care"
"bloomka","52.2","37.7","4.9","skin_care"
"cleora","200.5","181.2","4.9","skin_care"
"dermaexpress","43","49.5","4.9","skin_care"
"elsheskin","643","357.8","4.9","skin_care"
"emina","2.8","2.1","4.9","skin_care"
"erha","600.4","577","4.9","skin_care"
"everpure","43.3","28.4","4.9","skin_care"
"everwhite","498.9","407.5","4.9","skin_care"
"facetology","5.6","5.2","4.9","skin_care"
"feat for skin","0.651","0.396","5","skin_care"
"for skins sake","29.5","14.9","4.9","skin_care"
"gentle hour","4.5","0.9","4.9","skin_care"
"glow better","9.5","1.7","4.9","skin_care"
"glow factor","24.2","1.8","4.9","skin_care"
"gorjes","2.4","0.908","4.9","skin_care"
"grace and glow","397.4","212.3","4.9","skin_care"
"hale","46.5","18.3","4.9","skin_care"
"haple","92.9","86.4","4.9","skin_care"
"harlette","84.4","39.4","4.9","skin_care"
"i trust nature","29.1","4.6","4.9","skin_care"
"indoganic","53.6","14.3","4.9","skin_care"
"innertrue","38.2","15.9","4.9","skin_care"
"jarkeen","23.6","25.2","4.9","skin_care"
"jarte beauty","105.9","36.3","4.9","skin_care"
"jiera","235.4","74.8","4.8","skin_care"
"joylab","154.8","52.5","4.9","skin_care"
"kahf","319.1","251.5","4.9","skin_care"
"kasmaran","1.5","423","5","skin_care"
"kleveru","129","107.6","4.9","skin_care"
"kojiesan","91","85.2","4.9","skin_care"
"lacoco","66.6","2.4","4.9","skin_care"
"maska","17.2","5.4","4.9","skin_care"
"mineral botanica","281.1","160.5","4.8","skin_care"
"moriganic","86.8","53","4.9","skin_care"
"morr","0.523","0.334","5","skin_care"
"my skin hero","1.6","775","5","skin_care"
"natosh indonesia","12.7","9.8","4.9","skin_care"
"noera","1.2","458.5","4.9","skin_care"
"noolab","9.6","4.1","4.9","skin_care"
"npure","778.7","393.9","4.9","skin_care"
"nusantics","1.6","639","4.9","skin_care"
"nutrishe","89.7","69.5","4.9","skin_care"
"oasea laboratories","13.1","1.7","5","skin_care"
"omniskin","27.5","17.5","4.9","skin_care"
"oullu","13.2","2.8","4.9","skin_care"
"philocaly skin","19","9.2","4.9","skin_care"
"raiku","17.7","24.9","4.9","skin_care"
"reset the skin","4.8","2.4","4.9","skin_care"
"rivya","12.8","1.9","4.9","skin_care"
"saturday looks","99.1","68.8","4.9","skin_care"
"scarlett whitening","3.9","2.9","4.9","skin_care"
"seca skin","22.3","7","4.9","skin_care"
"skin dewi","28.8","12.7","5","skin_care"
"skin game","73.6","78.4","4.9","skin_care"
"skin theory","96.8","18","4.9","skin_care"
"skinmee","18.8","3.2","4.9","skin_care"
"skintific","1.8","759.6","4.9","skin_care"
"sociolla","370.3","227.8","4.9","skin_care"
"somethinc","2.4","1.8","4.9","skin_care"
"studio tropik","247.6","163.5","4.9","skin_care"
"syca","43.3","22.4","4.9","skin_care"
"teddy clubs","44.8","22.4","4.9","skin_care"
"terra beaute","12.4","17.1","4.9","skin_care"
"the aubree","23.1","35.4","5","skin_care"
"the originote","249.1","159","4.9","skin_care"
"true to skin","120.4","43.9","4.9","skin_care"
"trueve","423.6","235.9","4.9","skin_care"
"tulus","3.9","6.3","5","skin_care"
"votre peau","56.9","22.6","4.9","skin_care"
"westcare","3.5","3","4.9","skin_care"
"white story","242.2","238.4","4.9","skin_care"
"whitelab","1","1.4","4.9","skin_care"
"you beauty","3.2","1.5","4.9","skin_care"
"zamron","111.3","136.9","4.9","skin_care"
"zlota","15.5","10.4","4.9","skin_care"
